epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,260.397,1.16706,0.8541,1.23482,0.88193,0.9009,0.94525,0.59098,1.30932,0.74007,1.32732,0.000724518,0.000724518,0.000724518
43,267.235,1.15898,0.84003,1.22714,0.93598,0.93956,0.95422,0.61227,1.26344,0.65491,1.28749,0.000720019,0.000720019,0.000720019
44,274.077,1.14558,0.80449,1.219,0.93539,0.91786,0.96437,0.6169,1.33078,0.65603,1.33048,0.000715519,0.000715519,0.000715519
45,281.068,1.16107,0.84151,1.24416,0.93854,0.92342,0.95164,0.60864,1.30512,0.65662,1.29008,0.00071102,0.00071102,0.00071102
46,287.562,1.15464,0.82939,1.22091,0.89428,0.86157,0.9532,0.615,1.2854,0.7132,1.30079,0.00070652,0.00070652,0.00070652
47,293.443,1.13452,0.82049,1.22944,0.9284,0.9276,0.95967,0.5931,1.31116,0.66074,1.34005,0.000702021,0.000702021,0.000702021
48,299.755,1.14768,0.83007,1.23628,0.92741,0.90821,0.94043,0.60376,1.29836,0.66653,1.29825,0.000697521,0.000697521,0.000697521
49,306.068,1.15939,0.83867,1.26014,0.68099,0.71958,0.72869,0.42738,1.4238,1.62792,1.38485,0.000693022,0.000693022,0.000693022
50,311.398,1.12486,0.77631,1.21373,0.90748,0.94056,0.96409,0.59911,1.35454,0.68013,1.34766,0.000688522,0.000688522,0.000688522
51,316.721,1.11328,0.77572,1.20091,0.90607,0.93384,0.96423,0.59709,1.33657,0.64924,1.34377,0.000684022,0.000684022,0.000684022
52,322.098,1.13031,0.8387,1.22216,0.93869,0.93438,0.96957,0.6324,1.26181,0.61836,1.29469,0.000679523,0.000679523,0.000679523
53,327.402,1.13324,0.81709,1.23185,0.90903,0.89008,0.95022,0.58708,1.35635,0.69242,1.37135,0.000675023,0.000675023,0.000675023
54,332.779,1.09103,0.77984,1.20204,0.93753,0.91658,0.95236,0.60261,1.32039,0.65586,1.32368,0.000670524,0.000670524,0.000670524
55,338.09,1.10398,0.77036,1.20455,0.89688,0.91493,0.95636,0.60801,1.29668,0.63503,1.31366,0.000666024,0.000666024,0.000666024
56,343.429,1.09962,0.75556,1.20943,0.92298,0.94897,0.97601,0.6148,1.34562,0.61297,1.35999,0.000661525,0.000661525,0.000661525
